"Key","English","Hindi"
"graha.surya_en","Surya — The Sun",""
"graha.surya_desc","The king of planets blazes your path forward. As Surya illuminated Karna with divine armour, his radiance grants you +2 extra steps. The Sun sees all — nothing hides from his gaze.",""
"graha.surya_science","Aryabhata (499 CE) calculated Earth's rotation as 23h 56m 4.1s — only 3.3 seconds off the modern value. He knew Earth rotates on its axis 1,000 years before Copernicus.",""
"graha.chandra_en","Chandra — The Moon",""
"graha.chandra_desc","Chandra, who waxes and wanes like karma itself, bathes you in lunar grace. The Moon purifies — you receive +1 Punya. As Chandra calmed Shiva's burning third eye, his light soothes your soul.",""
"graha.chandra_science","The Moon's 27.3-day orbital period matches the 27 Nakshatras of Vedic astronomy — a stellar coordinate system that tracked the Moon's nightly position and predicted eclipses centuries before the West.",""
"graha.mangal_en","Mangal — Mars",""
"graha.mangal_desc","Mars, the warrior planet born from Shiva's sweat, fills you with battle fury. The nearest seeker retreats 3 squares. But violence has a price — you gain +1 Papa. Even righteous war leaves karmic scars.",""
"graha.mangal_science","Mars appears red due to iron oxide — Vedic texts linked Mangal to blood and iron (Rakta Dhatu). Indian astronomers calculated Mars's 687-day orbit in the Surya Siddhanta with remarkable accuracy.",""
"graha.budh_en","Budh — Mercury",""
"graha.budh_desc","Mercury, son of Chandra and Tara (born from a cosmic scandal), governs fate's reversals. Your position swaps with the nearest seeker — you take their place, they take yours. Then you move forward. Budh reminds us: fortune is never permanent.",""
"graha.budh_science","Mercury completes its orbit in just 88 days — the fastest planet. Its erratic retrograde motion was precisely described in the Surya Siddhanta as 'vakra' (crooked path).",""
"graha.brihaspati_en","Brihaspati — Jupiter",""
"graha.brihaspati_desc","Brihaspati, guru of the Devas and wisest of all planets, showers divine blessings upon the entire board. ALL seekers gain +1 Punya. Jupiter's grace is universal — even enemies benefit from a truly great teacher's wisdom.",""
"graha.brihaspati_science","Jupiter's 11.86-year orbit is the basis of the Vedic Guru cycle (Guru Peyarchi). Modern science confirms Jupiter's gravity acts as a cosmic shield, deflecting asteroids that would otherwise hit Earth.",""
"graha.shukra_en","Shukra — Venus",""
"graha.shukra_desc","Shukra, guru of the Asuras, possessed the secret of Sanjeevani — the power to resurrect the dead. He grants you a celestial Shield. The next serpent that strikes you will find its venom neutralized. This Shield works once — use it wisely.",""
"graha.shukra_science","Venus appears as both the morning and evening star. Vedic astronomers knew it was one object. The Surya Siddhanta's Venus orbital calculation has less than 2 minutes of error.",""
"graha.shani_en","Shani — Saturn",""
"graha.shani_desc","Shani Dev, the fearsome lord of karma and justice, turns his gaze upon you. His stare alone toppled kingdoms. You are pushed BACK 3 squares and gain +1 Papa. Even the gods feared Shani's slow, grinding justice. No one escapes Saturn's lessons.",""
"graha.shani_science","Saturn's 29.5-year orbit defines the Sade Sati cycle. Vedic texts describe Shani's 'valayas' (rings of light) — a feature the West didn't discover until Galileo's telescope in 1610.",""
"graha.rahu_en","Rahu — The Shadow",""
"graha.rahu_desc","Rahu, the shadow planet, is the severed head of the demon Svarbhanu who drank the nectar of immortality. He creates eclipses by swallowing the Sun. Rahu steals +1 Punya from the leading seeker and gives it to the trailing seeker. Chaos. Inversion. The first shall be last.",""
"graha.rahu_science","Rahu IS the ascending lunar node — the mathematical point where the Moon's orbit crosses Earth's orbital plane. Vedic astronomers predicted eclipses using these 'shadow planets' with tables (panchanga) that remain accurate today.",""
"graha.ketu_en","Ketu — The Tail",""
"graha.ketu_desc","Ketu is Rahu's headless body — the planet of detachment and moksha. All seekers lose their Shield (if any). Ketu strips away all protection, all attachments. But in loss, there is liberation. The seeker closest to Square 108 gains +1 Punya — for Ketu rewards those who are ready to let go.",""
"graha.ketu_science","Ketu IS the descending lunar node. The Rahu-Ketu axis completes a cycle every 18.6 years — known to Indian astronomers as the eclipse cycle, rediscovered by the West as the Saros cycle.",""
