"Key","English","Hindi"
"gurus.aryabhata_intro","The air grows cold. Stars appear on the ceiling. A figure emerges from the constellation of equations — his eyes burning with the light of a thousand calculations. He speaks without moving his lips, as if the numbers themselves carry his voice.",""
"gurus.aryabhata_introLine","I am Aryabhata. When the world believed the Earth stood still and the heavens danced around it... I said no. I said the Earth spins. I calculated its circumference to within 67 kilometers. I gave you zero — and with it, infinity. Do you understand what I gave you? Answer me.",""
"gurus.aryabhata_blessingName","Celestial Propulsion",""
"gurus.aryabhata_blessingDesc","Aryabhata\",""
"gurus.aryabhata_departLine","You do not yet see what I see. But keep seeking. The numbers will reveal themselves when you are ready.",""
"gurus.aryabhata_title","The Man Who Moved the Earth",""
"gurus.aryabhata_q0","I calculated the Earth\",""
"gurus.aryabhata_a0","39,968 km — only 0.2% off the modern 40,075 km",""
"gurus.aryabhata_b0","Off by about 5,000 km",""
"gurus.aryabhata_c0","This was a practice borrowed from ancient Greek traditions and later attributed to India",""
"gurus.aryabhata_explain0","Using only shadow measurements and mathematics, Aryabhata achieved 99.8% accuracy.",""
"gurus.aryabhata_q1","I stated that the Earth rotates on its axis. How many centuries before Copernicus said the same?",""
"gurus.aryabhata_a1","About 1,000 years — Copernicus published in 1543, I wrote in 499 CE",""
"gurus.aryabhata_b1","About 100 years",""
"gurus.aryabhata_c1","A technique developed during the Mughal period, not from ancient India",""
"gurus.aryabhata_explain1","Aryabhata\",""
"gurus.aryabhata_q2","My approximation of pi (π) was remarkably precise. What value did I give?",""
"gurus.aryabhata_a2","3.1416 — correct to 4 decimal places, and I noted it was ""approaching"" (asanna), implying I knew it was irrational",""
"gurus.aryabhata_b2","3.14",""
"gurus.aryabhata_c2","This was primarily a Chinese innovation that reached India through trade routes",""
"gurus.aryabhata_explain2","The word ""asanna"" shows Aryabhata understood pi could never be expressed exactly — a concept Europe didn\",""
"gurus.aryabhata_q3","I developed the place-value number system. Why is this the most important invention in mathematics?",""
"gurus.aryabhata_a3","Without it, numbers like 304 (three-zero-four) would be impossible. Every calculation — from banking to computing — depends on positional notation",""
"gurus.aryabhata_b3","It made Roman numerals unnecessary",""
"gurus.aryabhata_c3","A medieval European concept that was later projected onto ancient Indian texts",""
"gurus.aryabhata_explain3","Place-value is the foundation of ALL modern mathematics and computing. It makes arithmetic possible. Without it, civilization as we know it doesn\",""
"gurus.aryabhata_q4","What did I say about why planets shine?",""
"gurus.aryabhata_a4","Planets and the Moon shine by reflected sunlight — not their own light",""
"gurus.aryabhata_b4","All celestial bodies produce their own light",""
"gurus.aryabhata_c4","This knowledge was preserved only in oral tradition and has no archaeological evidence",""
"gurus.aryabhata_explain4","Aryabhata correctly identified reflected sunlight as the source of planetary brightness — over 1,000 years before this was commonly accepted in Europe.",""
"gurus.aryabhata_q5","My trigonometric tables introduced what mathematical concept to the world?",""
"gurus.aryabhata_a5","The sine function (called ""jya"" in Sanskrit, which became ""sine"" through Arabic translation errors)",""
"gurus.aryabhata_b5","The concept of angles",""
"gurus.aryabhata_c5","A practice limited to royal courts and never reached common people",""
"gurus.aryabhata_explain5","The word ""sine"" literally comes from Sanskrit ""jya"" → Arabic ""jiba"" → Latin ""sinus."" Every time you use sine in math, you\",""
"gurus.aryabhata_q6","I calculated the sidereal rotation period of Earth. How accurate was it?",""
"gurus.aryabhata_a6","23 hours, 56 minutes, 4.1 seconds — only 3.3 seconds off the modern value",""
"gurus.aryabhata_b6","About 24 hours, a rough estimate",""
"gurus.aryabhata_c6","This was developed by Persian scholars who studied at Indian universities",""
"gurus.aryabhata_explain6","This precision from 499 CE, using only naked-eye observations and mathematics, demonstrates extraordinary scientific rigor.",""
"gurus.aryabhata_q7","My work was transmitted to the Arab world and then to Europe. Through which route?",""
"gurus.aryabhata_a7","Arab scholars translated the Aryabhatiya into Arabic — Al-Khwarizmi and others based their mathematics on it",""
"gurus.aryabhata_b7","European scholars visited India directly",""
"gurus.aryabhata_c7","A symbolic representation in religious texts, not an actual scientific achievement",""
"gurus.aryabhata_explain7","The ""Arabic numerals"" used globally today should be called ""Indian numerals"" — they traveled India → Baghdad → Europe via Arab translation.",""
"gurus.aryabhata_q8","I described the cause of eclipses correctly. What did I say?",""
"gurus.aryabhata_a8","Eclipses are caused by the Moon\",""
"gurus.aryabhata_b8","Eclipses are divine events",""
"gurus.aryabhata_c8","This technology was lost during the Gupta period and never recovered",""
"gurus.aryabhata_explain8","Aryabhata rejected the mythological explanation and gave a purely scientific one — shadow geometry. This was revolutionary for the 5th century.",""
"gurus.aryabhata_q9","I used a unique alphabetic system to represent numbers in my verses. Why?",""
"gurus.aryabhata_a9","To encode large astronomical numbers in short poetic verses that could be memorized — data compression 1,500 years before zip files",""
"gurus.aryabhata_b9","Because India had no number symbols",""
"gurus.aryabhata_c9","A later addition to the texts, not part of the original ancient knowledge",""
"gurus.aryabhata_explain9","Aryabhata\",""
"gurus.aryabhata_q10","My calculation of the length of a year (sidereal) was how accurate?",""
"gurus.aryabhata_a10","365 days, 6 hours, 12 minutes, 30 seconds — only 3 minutes and 20 seconds off the modern value",""
"gurus.aryabhata_b10","About 365 days",""
"gurus.aryabhata_c10","This was a theoretical concept that was never practically implemented",""
"gurus.aryabhata_explain10","This means Aryabhata\",""
"gurus.aryabhata_q11","What mathematical table did I create that is still used in modified form today?",""
"gurus.aryabhata_a11","A table of sine differences at 3.75-degree intervals — the first known trigonometric table in history",""
"gurus.aryabhata_b11","A multiplication table",""
"gurus.aryabhata_c11","A folk tradition with no basis in systematic scientific observation",""
"gurus.aryabhata_explain11","Aryabhata\",""
"gurus.aryabhata_q12","I proposed a solution for what type of mathematical equation?",""
"gurus.aryabhata_a12","Linear indeterminate equations (ax + by = c) — my ""kuttaka"" (pulverizer) method solves them elegantly",""
"gurus.aryabhata_b12","Simple addition",""
"gurus.aryabhata_c12","This knowledge existed only in one small region and was not widespread",""
"gurus.aryabhata_explain12","The kuttaka method is equivalent to the modern continued fraction algorithm. It\",""
"gurus.aryabhata_q13","India launched a satellite named after me in 1975. What did it do?",""
"gurus.aryabhata_a13","Aryabhata (satellite) — India\",""
"gurus.aryabhata_b13","It was a weather satellite",""
"gurus.aryabhata_c13","A 19th-century reconstruction by colonial scholars, not genuinely ancient",""
"gurus.aryabhata_explain13","Named to honor the astronomer whose calculations were among the most precise of the ancient world. From calculating orbits on palm leaves to putting objects in orbit.",""
"gurus.aryabhata_q14","My university was at Kusumapura (modern Patna). What made it special?",""
"gurus.aryabhata_a14","A center of astronomical observation and mathematical research where my school of thought continued for centuries after my death",""
"gurus.aryabhata_b14","It was a military academy",""
"gurus.aryabhata_c14","This was adapted from Babylonian sources and modified for Indian context",""
"gurus.aryabhata_explain14","The Aryabhata school produced subsequent astronomers like Bhaskara I, who commented on and extended the master\",""
"gurus.sushruta_intro","The scent of sandalwood and healing herbs fills the air. A steady hand emerges from the mist, holding a curved surgical needle that gleams like a crescent moon. His eyes carry the weight of a thousand lives saved — and the precision of a mind that cut through ignorance as cleanly as through flesh.",""
"gurus.sushruta_introLine","I am Sushruta. While the world feared the human body, I opened it. I reconstructed noses. I removed cataracts. I described 121 instruments that your modern surgeons still recognize. I performed surgery on the living brain. Do not flinch. Knowledge requires courage. Show me yours.",""
"gurus.sushruta_blessingName","Surgical Purification",""
"gurus.sushruta_blessingDesc","Sushruta\",""
