"Key","English","Hindi"
"sacred.yama_lore","Before you master the body, before you master the breath, before you master the mind — you must master yourself. The five Yamas are not commandments from above. They are observations from within. Ahimsa is not just avoiding physical harm — it is the refusal to wound with thought, word, or silence. Satya is not just speaking truth — it is BEING truth, even when truth is costly. Gandhi built an empire of change on Ahimsa alone. The entire civil rights movement — King, Mandela — traces back to this first step of an Indian sage who lived 2,200 years ago. Before you can change the world, you must stop harming it.",""
"sacred.yama_shlokaEn","Non-violence, truth, non-stealing, continence, non-possessiveness — these are the Yamas — Yoga Sutra 2.30",""
"sacred.yama_shloka","अहिंसासत्यास्तेयब्रह्मचर्यापरिग्रहा यमाः",""
"sacred.niyama_lore","The Yamas govern how you treat the world. The Niyamas govern how you treat yourself. Shaucha is not just cleanliness of body — it is clarity of perception. Santosha is not passive acceptance — it is the radical act of choosing peace in a world that profits from your anxiety. Tapas — the burning discipline — is not self-punishment. It is the fire that transforms coal into diamond. Every world-changing discovery, every masterpiece, every revolution began with someone who refused to be comfortable. Svadhyaya — self-study — is the most terrifying journey: looking inward without flinching. And Ishvara Pranidhana — surrender — is not weakness. It is the ultimate strength: releasing the illusion that you control the universe.",""
"sacred.niyama_shlokaEn","Purity, contentment, austerity, self-study, surrender — these are the Niyamas — Yoga Sutra 2.32",""
"sacred.niyama_shloka","शौचसन्तोषतपःस्वाध्यायेश्वरप्रणिधानानि नियमाः",""
"sacred.asana_lore","The entire modern yoga industry — $80 billion globally — is built on a misunderstanding of this single word. Patanjali devoted exactly THREE sutras to Asana out of 196. Three. It was never about flexibility or Instagram poses. 'Sthira Sukham Asanam' — the seat should be steady and comfortable. That is all. Why? Because you cannot meditate if your body is screaming. The body is the vehicle, not the destination. Yet within this simplicity hides profound science: NASA research confirmed that yoga poses increase bone density. Harvard proved specific poses reduce cortisol by 25%. The ancient rishis who sat in padmasana for hours weren't exercising — they were tuning an instrument. The body is a frequency receiver. Asana is the tuning.",""
"sacred.asana_shlokaEn","The posture should be steady and comfortable — Yoga Sutra 2.46",""
"sacred.asana_shloka","स्थिरसुखमासनम्",""
"sacred.pranayama_lore","You breathe 22,000 times a day. You are aware of almost none of them. Pranayama is the art of making the unconscious conscious — and in doing so, rewiring your entire nervous system. When Navy SEALs need to stay calm under gunfire, they use box breathing — 4 counts in, 4 hold, 4 out. This IS Pranayama, stripped of its Sanskrit name and sold as 'tactical breathing.' When Wim Hof climbed Everest in shorts, he used Tummo breathing — a Pranayama technique Tibetan monks have practiced for centuries. Stanford research proved 5 minutes of cyclic sighing reduces anxiety more effectively than medication. The vagus nerve — the longest nerve in your body — runs from brain to gut through every organ. Breath controls the vagus nerve. The vagus nerve controls everything else. Patanjali knew this 2,200 years ago. He just didn't need an fMRI to prove it.",""
"sacred.pranayama_shlokaEn","When that (asana) is accomplished, pranayama is the regulation of breath — Yoga Sutra 2.49",""
"sacred.pranayama_shloka","तस्मिन्सति श्वासप्रश्वासयोर्गतिविच्छेदः प्राणायामः",""
"sacred.pratyahara_lore","You are being consumed. Every notification, every scroll, every advertisement is a hook in your attention — pulling your consciousness outward into a world designed to exploit it. The average person checks their phone 96 times a day. Social media algorithms are engineered by neuroscientists to trigger dopamine loops. You are not using your phone. Your phone is using you. Pratyahara is the ancient antidote to the modern attention crisis. It is not closing your eyes to the world — it is choosing what enters your mind. The turtle withdraws its limbs not out of fear, but out of mastery. The senses are wild horses. Pratyahara is the moment you take the reins. In a world that monetizes your distraction, the ability to withdraw attention at will is not just a spiritual practice — it is an act of rebellion.",""
"sacred.pratyahara_shlokaEn","Pratyahara is the withdrawal of the senses from their objects, as if imitating the mind's own nature — Yoga Sutra 2.54",""
"sacred.pratyahara_shloka","स्वविषयासम्प्रयोगे चित्तस्वरूपानुकार इवेन्द्रियाणां प्रत्याहारः",""
"sacred.dharana_lore","Cal Newport calls it 'Deep Work.' Mihaly Csikszentmihalyi calls it 'Flow.' Silicon Valley calls it 'hyperfocus.' Patanjali called it Dharana — 2,200 years before any of them were born. The ability to hold attention on a single point without wavering is the rarest and most valuable skill in the modern economy. A study by Microsoft found the average human attention span has dropped from 12 seconds in 2000 to 8 seconds in 2015 — less than a goldfish. Dharana is the training that reverses this collapse. Neuroscience confirms: sustained focus physically thickens the prefrontal cortex, increases grey matter in the anterior cingulate, and strengthens the neural circuits of executive function. The ancient rishis who meditated on a single flame for hours were not wasting time. They were building the most powerful organ in the known universe — an undistracted human mind.",""
"sacred.dharana_shlokaEn","Dharana is the binding of the mind to one place — Yoga Sutra 3.1",""
"sacred.dharana_shloka","देशबन्धश्चित्तस्य धारणा",""
"sacred.dhyana_lore","Dharana is holding a note. Dhyana is the music that flows when you stop trying to hold it. It is not something you DO — it is what happens when you stop doing everything else. The difference between concentration and meditation is the difference between a photograph and a river. One is frozen effort. The other is effortless flow. When the US Marines adopted mindfulness training, PTSD rates dropped by 50%. When Google offered meditation to employees, it became the most oversubscribed course in company history. Hedge fund managers, Olympic athletes, Navy SEALs — the highest performers on Earth all converge on the same ancient practice from the same ancient text. But here is Patanjali's secret: Dhyana cannot be taught. It can only arise. You create the conditions — silence, stillness, sustained attention — and then you let go. The river was always flowing. You were just too busy to notice.",""
"sacred.dhyana_shlokaEn","Dhyana is the unbroken flow of awareness toward that point — Yoga Sutra 3.2",""
"sacred.dhyana_shloka","तत्र प्रत्ययैकतानता ध्यानम्",""
"sacred.moksha_lore","This is not a square on a board. This is the moment the board disappears. Moksha is not a place you reach — it is the realization that you were never separate from it. The wave discovers it was always the ocean. The drop discovers it was always the rain. Every religion, every philosophy, every mystic tradition across every civilization has pointed to this same experience: the dissolution of the boundary between self and cosmos. Schrödinger read the Upanishads and saw quantum mechanics. Einstein felt something 'behind the energy' and called it cosmic religious feeling. The rishis sat in silence and simply said: 'Tat tvam asi' — You are That. Not you WILL BE that. Not you COULD BE that. You ARE that. Right now. Always. The game of Moksha Patam ends here. But only the game. What you truly are has no beginning and no end. You are the player, the board, and the sacred path itself. ॐ",""
"sacred.moksha_shlokaEn","Then the seer abides in its own true nature — Yoga Sutra 1.3",""
"sacred.moksha_shloka","तदा द्रष्टुः स्वरूपेऽवस्थानम्",""
