"Key","English","Hindi"
"ui.game_title","मोक्ष पटम् १०८",""
"ui.game_subtitle","MOKSHA PATAM 108",""
"ui.game_tagline","THE ANCIENT GAME OF KARMA",""
"ui.knowledge_temple","KNOWLEDGE TEMPLE",""
"ui.enter_the_temple","ENTER THE TEMPLE",""
"ui.skip_to_quiz","SKIP TO QUIZ →",""
"ui.prove_knowledge","PROVE YOUR KNOWLEDGE",""
"ui.enters_temple","ENTERS THE TEMPLE",""
"ui.question","QUESTION",""
"ui.choose_answer","CHOOSE YOUR ANSWER",""
"ui.square","SQUARE",""
"ui.guru_encounter","GURU ENCOUNTER",""
"ui.accept_challenge","ACCEPT THE CHALLENGE",""
"ui.faces_guru","FACES THE GURU",""
"ui.answer_guru","ANSWER THE GURU",""
"ui.guru_asks","THE GURU ASKS",""
"ui.blessed","BLESSED",""
"ui.guru_departs","THE GURU DEPARTS",""
"ui.guru_arrives_next","GURU ARRIVES NEXT TURN!",""
"ui.guru_in_turns","Guru in {n} turns",""
"ui.every_8_turns","EVERY 8TH TURN · AN ANCIENT GURU TESTS YOUR KNOWLEDGE",""
"ui.did_you_know","DID YOU KNOW?",""
"ui.continue","CONTINUE",""
"ui.close","CLOSE",""
"ui.tap_continue","TAP TO CONTINUE",""
"ui.sacred_path","THE SACRED PATH",""
"ui.step_of_8","STEP {n} OF 8 · THE SACRED PATH",""
"ui.vedic_astronomy","VEDIC ASTRONOMY",""
"ui.karma_victory","KARMA VICTORY",""
"ui.karma_victory_desc","{name} has accumulated 50 Punya! The board dissolves. Instant Moksha!",""
"ui.karma_ready","⚡ KARMA READY!",""
"ui.punya_progress","⚡ {n}/50",""
"ui.moksha_victory","MOKSHA",""
"ui.moksha_desc","Punya ≥ Papa at Sq 108",""
"ui.moksha_rejected","Gates of Moksha REJECT You!",""
"ui.moksha_rejected_desc","{name}, your soul is impure! Punya ({punya}) < Papa ({papa}). Cast back to 67.",""
"ui.moksha_warning","Papa ({papa}) exceeds Punya ({punya}) — Moksha will REJECT you!",""
"ui.you_pure","You: {punya} Punya / {papa} Papa ✓ Pure",""
"ui.you_impure","You: {punya} Punya / {papa} Papa ✗ Impure",""
"ui.roll_dice","Roll Dice",""
"ui.rolling","Rolling...",""
"ui.opponents_turn","{name}'s turn",""
"ui.blessing_active","{name} ACTIVE",""
"ui.blessing_aryabhata","Celestial Propulsion",""
"ui.blessing_sushruta","Surgical Purification",""
"ui.blessing_chanakya","Strategic Vision",""
"ui.blessing_panini","Perfect Speech",""
"ui.blessing_charaka","Ayurvedic Shield",""
"ui.blessing_bhaskara","Mathematical Multiplication",""
"ui.blessing_varahamihira","Cosmic Prediction",""
"ui.blessing_patanjali","Yogic Discipline",""
"ui.naga","Nāga",""
"ui.virtue","Virtue",""
"ui.dharma","Dharma",""
"ui.saved_game_found","🪷 SAVED GAME FOUND",""
"ui.resume","RESUME",""
"ui.new_game","NEW GAME",""
"ui.game_resumed","Game resumed from where you left off.",""
"ui.connecting_cosmos","🙏 Connecting to the cosmos...",""
"ui.sign_in","Sign In",""
"ui.enter_sacred_board","ENTER THE SACRED BOARD",""
"ui.sign_in_google","Sign in with Google",""
"ui.sign_in_save_karma","Sign in to save your karma across lifetimes",""
"ui.begin_journey","📜 BEGIN THE JOURNEY",""
"ui.how_to_play","HOW TO PLAY",""
"ui.play_now","⚡ Play Now",""
"ui.skip","SKIP →",""
"ui.next","Next →",""
"ui.prev","← Prev",""
"ui.back","← Back",""
"ui.begin","BEGIN ▸",""
"ui.chapter_of","CHAPTER {n} OF {total}",""
"ui.menu","☰ MENU",""
"ui.rules","📜 Rules",""
"ui.encyclopaedia","📖 Encyclopaedia",""
"ui.correct","✓ Correct!",""
"ui.wrong","✗ Wrong!",""
"ui.ashtanga_marga","अष्टांग मार्ग · The 8-Fold Sacred Path",""
"ui.error_title","A disturbance in the cosmic order",""
"ui.error_desc","Something unexpected happened. The path to Moksha has been disrupted.",""
"ui.error_button","Return to the Path",""
