"Key","English","Hindi"
"cosmic.bhuloka_0_title","Sushruta\",""
"cosmic.bhuloka_0_fact","Indian surgeons performed nose reconstruction (rhinoplasty) in 600 BCE. British surgeons learned the ""Indian method"" in the 1790s. It\",""
"cosmic.bhuloka_0_source","Sushruta Samhita",""
"cosmic.bhuloka_1_title","Wootz Steel\",""
"cosmic.bhuloka_1_fact","Ancient Indian crucible steel contained carbon nanotubes — discovered using electron microscopy in 2006 and published in Nature. Indian blacksmiths accidentally mastered nanotechnology 2,300 years ago.",""
"cosmic.bhuloka_1_source","Nature Journal, 2006",""
"cosmic.bhuloka_2_title","The Undying Iron Pillar",""
"cosmic.bhuloka_2_fact","Delhi\",""
"cosmic.bhuloka_2_source","IIT Kanpur Research",""
"cosmic.bhuloka_3_title","World\",""
"cosmic.bhuloka_3_fact","Lothal (Gujarat, 2400 BCE) had the world\",""
"cosmic.bhuloka_3_source","Archaeological Survey of India",""
"cosmic.bhuloka_4_title","Turmeric: 4,000 Years Validated",""
"cosmic.bhuloka_4_fact","Turmeric has been used in Ayurveda for 4,000+ years. Modern science has published over 12,000 peer-reviewed studies confirming curcumin\",""
"cosmic.bhuloka_4_source","PubMed Database",""
"cosmic.bhuloka_5_title","Zinc Before Europe",""
"cosmic.bhuloka_5_fact","Zawar mines in Rajasthan produced industrial-scale zinc (907°C distillation) in the 4th century BCE — 1,800 years before Europe figured out the same process.",""
"cosmic.bhuloka_5_source","Craddock & Zhou, 2003",""
"cosmic.bhuloka_6_title","Konark\",""
"cosmic.bhuloka_6_fact","The 24 wheels of the Konark Sun Temple aren\",""
"cosmic.bhuloka_6_source","ASI Documentation",""
"cosmic.bhuloka_7_title","Harappan Standardization",""
"cosmic.bhuloka_7_fact","Indus Valley cities (3300 BCE) used perfectly cubic stone weights in ratios of 1:2:4:8:16:32 — identical across 1,500 km. This implies centralized quality control 5,300 years ago.",""
"cosmic.bhuloka_7_source","Kenoyer, 1998",""
"cosmic.bhuloka_8_title","Stepwell Cooling Systems",""
"cosmic.bhuloka_8_fact","Chand Baori (Rajasthan, 8th century) descends 30 meters through 3,500 steps. The bottom is 5-6°C cooler than the surface — a natural air conditioning system using convection physics.",""
"cosmic.bhuloka_8_source","UNESCO Heritage Records",""
"cosmic.bhuloka_9_title","Dhaka Muslin: Woven Air",""
"cosmic.bhuloka_9_fact","Dhaka Muslin was so fine that a 50-yard sari could pass through a finger ring. The British systematically destroyed this industry — cutting weavers\",""
"cosmic.bhuloka_9_source","Bengal Historical Records",""
"cosmic.bhuloka_10_title","Grand Anicut: Still Working",""
"cosmic.bhuloka_10_fact","The Kallanai dam across the Kaveri River, built by Karikala Chola (~2nd century CE), is one of the oldest water-regulation structures in the world — and it\",""
"cosmic.bhuloka_10_source","Tamil Nadu PWD Records",""
"cosmic.bhuloka_11_title","Ant Sutures",""
"cosmic.bhuloka_11_fact","Sushruta described using the jaws of large black ants as surgical clips — the ant bites wound edges together, then its body is removed, leaving the jaw as a natural suture. Brilliant biological engineering.",""
"cosmic.bhuloka_11_source","Sushruta Samhita, Ch. 25",""
"cosmic.bhuloka_12_title","Dholavira\",""
"cosmic.bhuloka_12_fact","The Harappan city of Dholavira (3000 BCE) had 16 reservoirs, storm water channels, and a water management system more sophisticated than many modern Indian cities — in a desert.",""
"cosmic.bhuloka_12_source","ASI Excavation Reports",""
"cosmic.bhuloka_13_title","Gol Gumbaz Acoustics",""
"cosmic.bhuloka_13_fact","Bijapur\",""
"cosmic.bhuloka_13_source","Acoustic Studies, IITB",""
"cosmic.bhuloka_14_title","Earthquake-Proof Mortar",""
"cosmic.bhuloka_14_fact","Ancient Indian builders used ""Surkhi"" mortar — lime + brick dust + jaggery + plant fibers — creating flexible bonds that absorb seismic energy. Many ancient temples survived quakes that destroyed modern buildings.",""
"cosmic.bhuloka_14_source","NISTADS Research",""
"cosmic.bhuloka_15_title","Vaccination Before Jenner",""
"cosmic.bhuloka_15_fact","Indian practitioners in Bengal practiced ""tikah"" (smallpox inoculation) decades before Edward Jenner\",""
"cosmic.bhuloka_15_source","Dharampal, 1971",""
"cosmic.bhuloka_16_title","Thanjavur\",""
"cosmic.bhuloka_16_fact","Brihadeeswarar Temple\",""
"cosmic.bhuloka_16_source","Chola Temple Architecture",""
"cosmic.bhuloka_17_title","Vastu: Ancient Green Design",""
"cosmic.bhuloka_17_fact","Vastu Shastra\",""
"cosmic.bhuloka_17_source","Manasara Silpa Shastra",""
"cosmic.bhuloka_18_title","Ram Setu: Real Structure",""
"cosmic.bhuloka_18_fact","NASA satellite imagery confirms a 48-km chain of limestone shoals between India and Sri Lanka (Adam\",""
"cosmic.bhuloka_18_source","NASA/GSI Studies",""
"cosmic.bhuloka_19_title","Ayurvedic Nanoparticles",""
"cosmic.bhuloka_19_fact","Ayurvedic ""bhasma"" (calcinated metals) are nano-sized mineral particles created through complex high-temperature processing. Modern analysis shows unique bioavailability that bulk minerals don\",""
"cosmic.bhuloka_19_source","Nanoparticle Research, IIT",""
"cosmic.antarloka_0_title","Panini: The First Programmer",""
"cosmic.antarloka_0_fact","Panini\",""
"cosmic.antarloka_0_source","AI Magazine, 1985",""
"cosmic.antarloka_1_title","Zero Changed Everything",""
"cosmic.antarloka_1_fact","India gave the world zero (shunya) and the place-value system. Every calculation in banking, computing, and physics uses this. The word ""zero"" comes from Sanskrit ""shunya"" → Arabic ""sifr"" → Latin ""zephirum.""",""
"cosmic.antarloka_1_source","Mathematical History",""
"cosmic.antarloka_2_title","Binary: 1,800 Years Early",""
"cosmic.antarloka_2_fact","Pingala described binary numbers in his Chandahshastra (~200 BCE) using ""laghu"" (0) and ""guru"" (1) for poetry meter. Leibniz independently rediscovered binary in 1703 — 1,800 years later.",""
"cosmic.antarloka_2_source","Chandahshastra",""
"cosmic.antarloka_3_title","Pythagorean Theorem: Indian First",""
"cosmic.antarloka_3_fact","Baudhayana\",""
"cosmic.antarloka_3_source","Sulbasutras, I.48",""
"cosmic.antarloka_4_title","Om = Earth\",""
"cosmic.antarloka_4_fact","Om\",""
"cosmic.antarloka_4_source","Hans Cousto, 1978",""
"cosmic.antarloka_5_title","Vagus Nerve = Chakra Map",""
"cosmic.antarloka_5_fact","The vagus nerve — the longest cranial nerve — runs from brainstem through all 7 chakra locations, controlling the parasympathetic nervous system. Modern vagal stimulation treats depression and epilepsy.",""
"cosmic.antarloka_5_source","Neuroanatomy Research",""
"cosmic.antarloka_6_title","Meditation Changes Brain Structure",""
"cosmic.antarloka_6_fact","Harvard MRI studies show 8 weeks of meditation physically increases grey matter in the hippocampus and thickens the prefrontal cortex. Patanjali described these consciousness changes 2,200 years ago.",""
"cosmic.antarloka_6_source","Sara Lazar, Harvard, 2011",""
"cosmic.antarloka_7_title","Calculus: 500 Years Early",""
"cosmic.antarloka_7_fact","Bhaskara II (1114 CE) computed derivatives of trigonometric functions and described instantaneous velocity — the core of calculus — 500 years before Newton and Leibniz.",""
"cosmic.antarloka_7_source","Siddhanta Shiromani",""
"cosmic.antarloka_8_title","Kerala\",""
"cosmic.antarloka_8_fact","Madhava of Sangamagrama (~1340 CE) discovered infinite series for pi, sine, and cosine — the foundation of calculus — 200 years before Taylor, Gregory, and Leibniz.",""
"cosmic.antarloka_8_source","Yuktibhasa, 1530",""
"cosmic.antarloka_9_title","Sanskrit Alphabet = Vocal Science",""
"cosmic.antarloka_9_fact","Sanskrit\",""
"cosmic.antarloka_9_source","Panini\",""
"cosmic.antarloka_10_title","Vedic Error Correction",""
"cosmic.antarloka_10_fact","The Vedas were transmitted orally for 3,000+ years using 8 recitation patterns (Vikritis) — forward, backward, woven, zigzag. Any change in even one syllable breaks all patterns. Ancient data checksums.",""
"cosmic.antarloka_10_source","Vedic Tradition",""
"cosmic.antarloka_11_title","Infinity: Classified 2,300 Years Ago",""
"cosmic.antarloka_11_fact","Jain mathematicians (~400 BCE) classified infinity into enumerable, innumerable, and infinite categories — essentially transfinite numbers that the West didn\",""
"cosmic.antarloka_11_source","Surya Prajnapti",""
"cosmic.antarloka_12_title","Ramanujan\",""
"cosmic.antarloka_12_fact","Ramanujan produced nearly 3,900 mathematical results in his short 32 years — many so advanced that mathematicians are still proving them correct 100 years later.",""
"cosmic.antarloka_12_source","Hardy-Ramanujan Letters",""
"cosmic.antarloka_13_title","CBT is 2,200 Years Old",""
"cosmic.antarloka_13_fact","Patanjali\",""
"cosmic.antarloka_13_source","Yoga Sutras II.33",""
"cosmic.antarloka_14_title","Brahmi: Mother of 40 Scripts",""
