"Key","English","Hindi"
"ui.game_title","मोक्ष पटम् १०८",""
"ui.game_subtitle","MOKSHA PATAM 108",""
"ui.game_tagline","THE ANCIENT GAME OF KARMA",""
"ui.knowledge_temple","KNOWLEDGE TEMPLE",""
"ui.enter_the_temple","ENTER THE TEMPLE",""
"ui.skip_to_quiz","SKIP TO QUIZ →",""
"ui.prove_knowledge","PROVE YOUR KNOWLEDGE",""
"ui.enters_temple","ENTERS THE TEMPLE",""
"ui.question","QUESTION",""
"ui.choose_answer","CHOOSE YOUR ANSWER",""
"ui.square","SQUARE",""
"ui.guru_encounter","GURU ENCOUNTER",""
"ui.accept_challenge","ACCEPT THE CHALLENGE",""
"ui.faces_guru","FACES THE GURU",""
"ui.answer_guru","ANSWER THE GURU",""
"ui.guru_asks","THE GURU ASKS",""
"ui.blessed","BLESSED",""
"ui.guru_departs","THE GURU DEPARTS",""
"ui.guru_arrives_next","GURU ARRIVES NEXT TURN!",""
"ui.guru_in_turns","Guru in {n} turns",""
"ui.every_8_turns","EVERY 8TH TURN · AN ANCIENT GURU TESTS YOUR KNOWLEDGE",""
"ui.did_you_know","DID YOU KNOW?",""
"ui.continue","CONTINUE",""
"ui.close","CLOSE",""
"ui.tap_continue","TAP TO CONTINUE",""
"ui.sacred_path","THE SACRED PATH",""
"ui.step_of_8","STEP {n} OF 8 · THE SACRED PATH",""
"ui.vedic_astronomy","VEDIC ASTRONOMY",""
"ui.karma_victory","KARMA VICTORY",""
"ui.karma_victory_desc","{name} has accumulated 50 Punya! The board dissolves. Instant Moksha!",""
"ui.karma_ready","⚡ KARMA READY!",""
"ui.punya_progress","⚡ {n}/50",""
"ui.moksha_victory","MOKSHA",""
"ui.moksha_desc","Punya ≥ Papa at Sq 108",""
"ui.moksha_rejected","Gates of Moksha REJECT You!",""
"ui.moksha_rejected_desc","{name}, your soul is impure! Punya ({punya}) < Papa ({papa}). Cast back to 67.",""
"ui.moksha_warning","Papa ({papa}) exceeds Punya ({punya}) — Moksha will REJECT you!",""
"ui.you_pure","You: {punya} Punya / {papa} Papa ✓ Pure",""
"ui.you_impure","You: {punya} Punya / {papa} Papa ✗ Impure",""
"ui.roll_dice","Roll Dice",""
"ui.rolling","Rolling...",""
"ui.opponents_turn","{name}'s turn",""
"ui.blessing_active","{name} ACTIVE",""
"ui.blessing_aryabhata","Celestial Propulsion",""
"ui.blessing_sushruta","Surgical Purification",""
"ui.blessing_chanakya","Strategic Vision",""
"ui.blessing_panini","Perfect Speech",""
"ui.blessing_charaka","Ayurvedic Shield",""
"ui.blessing_bhaskara","Mathematical Multiplication",""
"ui.blessing_varahamihira","Cosmic Prediction",""
"ui.blessing_patanjali","Yogic Discipline",""
"ui.naga","Nāga",""
"ui.virtue","Virtue",""
"ui.dharma","Dharma",""
"ui.saved_game_found","🪷 SAVED GAME FOUND",""
"ui.resume","RESUME",""
"ui.new_game","NEW GAME",""
"ui.game_resumed","Game resumed from where you left off.",""
"ui.connecting_cosmos","🙏 Connecting to the cosmos...",""
"ui.sign_in","Sign In",""
"ui.enter_sacred_board","ENTER THE SACRED BOARD",""
"ui.sign_in_google","Sign in with Google",""
"ui.sign_in_save_karma","Sign in to save your karma across lifetimes",""
"ui.begin_journey","📜 BEGIN THE JOURNEY",""
"ui.how_to_play","HOW TO PLAY",""
"ui.play_now","⚡ Play Now",""
"ui.skip","SKIP →",""
"ui.next","Next →",""
"ui.prev","← Prev",""
"ui.back","← Back",""
"ui.begin","BEGIN ▸",""
"ui.chapter_of","CHAPTER {n} OF {total}",""
"ui.menu","☰ MENU",""
"ui.rules","📜 Rules",""
"ui.encyclopaedia","📖 Encyclopaedia",""
"ui.correct","✓ Correct!",""
"ui.wrong","✗ Wrong!",""
"ui.ashtanga_marga","अष्टांग मार्ग · The 8-Fold Sacred Path",""
"ui.error_title","A disturbance in the cosmic order",""
"ui.error_desc","Something unexpected happened. The path to Moksha has been disrupted.",""
"ui.error_button","Return to the Path",""
"gurus.aryabhata_intro","I am Aryabhata. When the world believed the Earth stood still and the heavens danced around it... I said no. I said the Earth spins. I calculated its circumference to within 67 kilometers. I gave you zero — and with it, infinity. Do you understand what I gave you? Answer me.",""
"gurus.aryabhata_blessing","Aryabhata\",""
"gurus.aryabhata_depart","You do not yet see what I see. But keep seeking. The numbers will reveal themselves when you are ready.",""
"gurus.sushruta_intro","I am Sushruta. While the world feared the human body, I opened it. I reconstructed noses. I removed cataracts. I described 121 instruments that your modern surgeons still recognize. I performed surgery on the living brain. Do not flinch. Knowledge requires courage. Show me yours.",""
"gurus.sushruta_blessing","Sushruta\",""
"gurus.sushruta_depart","Healing is not just of the body, but of the mind. Study both. Return when you have.",""
"gurus.chanakya_intro","I am Chanakya. Kautilya. Vishnugupta. I have three names because one was never enough to contain me. I took a boy from the streets and made him emperor of the largest empire the world had ever seen. I wrote the Arthashastra — the most complete manual of power ever created. Machiavelli was a child playing with toys compared to what I built. Now tell me — do you understand power?",""
"gurus.chanakya_blessing","Chanakya\",""
"gurus.chanakya_depart","Power without wisdom is a sword without a handle. It cuts the one who wields it. Think deeper.",""
"gurus.panini_intro","I am Panini. I looked at language — chaotic, messy, unpredictable — and I found the code beneath it. 3,959 rules. That is all it takes to generate every possible sentence in Sanskrit. Your computer scientists call me the first programmer. Your linguists call me the greatest grammarian who ever lived. But I am simply a man who loved precision. Can you match it?",""
"gurus.panini_blessing","Panini\",""
"gurus.panini_depart","Every word you speak shapes reality. Choose them as carefully as I chose my rules. Precision is not restriction — it is liberation.",""
"gurus.charaka_intro","I am Charaka. I wandered the length of Bharatavarsha, from the Himalayas to the southern seas, gathering the wisdom of healers, sages, and the forest itself. I wrote the Charaka Samhita — not just a medical text, but a philosophy of what it means to be alive. Your modern medicine treats symptoms. I taught the world to treat the person. Tell me — do you understand the difference?",""
"gurus.charaka_blessing","Charaka\",""
"gurus.charaka_depart","Your body is a universe in miniature. Listen to it. It speaks louder than any book.",""
"gurus.bhaskara_intro","I am Bhaskara. I named my mathematics textbook ""Lilavati"" — after my beloved daughter, so that her name would live forever in the language of numbers. I discovered calculus 500 years before Newton. I computed the Earth\",""
"gurus.bhaskara_blessing","Bhaskara\",""
"gurus.bhaskara_depart","Mathematics is not cold or heartless. I named my greatest work after love. Numbers, like the universe, are made of beauty.",""
"gurus.varahamihira_intro","I am Varahamihira. I predicted earthquakes by watching ants. I forecast rain by studying the scent of the wind. I synthesized five astronomical schools into one truth. While others looked only up at stars or only down at earth, I looked both ways. The cosmos speaks through the smallest creatures and the largest planets. Both are one language. Can you read it?",""
"gurus.varahamihira_blessing","Varahamihira\",""
"gurus.varahamihira_depart","Prediction is not magic — it is attention. Pay attention to everything. The universe is always speaking.",""
"gurus.patanjali_intro","I am Patanjali. I did not discover yoga — yoga has existed since consciousness itself. What I did was map it. 196 sutras. That is all it takes to describe the entire architecture of the human mind — its afflictions, its powers, its liberation. Your neuroscientists are just beginning to verify what I wrote 2,200 years ago. They are impressed by their fMRI machines. I used no machine. I used attention. Show me yours.",""
"gurus.patanjali_blessing","Patanjali\",""
"gurus.patanjali_depart","Yoga is not flexibility of the body. It is flexibility of the mind. Citta vritti nirodha — still the fluctuations. That is all.",""
"temples.vaidya_intro","[Extract from knowledgeTemples.js]",""
"temples.vaidya_lore","[Extract from knowledgeTemples.js]",""
