"Key","English","Hindi"
"temples.vaidya_intro","You enter the ancient Vaidyashala — where Dhanvantari\",""
"temples.vaidya_lore","In the great university of Takshashila, there stood a hall where the scent of turmeric never faded. Here, Jivaka studied for seven years before becoming Buddha\",""
"temples.vaidya_shloka","शरीरमाद्यं खलु धर्मसाधनम्",""
"temples.vaidya_shlokaEn","The body is the primary instrument of dharma — Kalidasa",""
"temples.shilpa_intro","You enter the ancient Vaidyashala — where Dhanvantari\",""
"temples.shilpa_lore","In the great university of Takshashila, there stood a hall where the scent of turmeric never faded. Here, Jivaka studied for seven years before becoming Buddha\",""
"temples.shilpa_shloka","शरीरमाद्यं खलु धर्मसाधनम्",""
"temples.shilpa_shlokaEn","The body is the primary instrument of dharma — Kalidasa",""
"temples.ganita_intro","You enter the ancient Vaidyashala — where Dhanvantari\",""
"temples.ganita_lore","In the great university of Takshashila, there stood a hall where the scent of turmeric never faded. Here, Jivaka studied for seven years before becoming Buddha\",""
"temples.ganita_shloka","शरीरमाद्यं खलु धर्मसाधनम्",""
"temples.ganita_shlokaEn","The body is the primary instrument of dharma — Kalidasa",""
"temples.shabda_intro","You enter the ancient Vaidyashala — where Dhanvantari\",""
"temples.shabda_lore","In the great university of Takshashila, there stood a hall where the scent of turmeric never faded. Here, Jivaka studied for seven years before becoming Buddha\",""
"temples.shabda_shloka","शरीरमाद्यं खलु धर्मसाधनम्",""
"temples.shabda_shlokaEn","The body is the primary instrument of dharma — Kalidasa",""
"temples.jyotish_intro","You enter the ancient Vaidyashala — where Dhanvantari\",""
"temples.jyotish_lore","In the great university of Takshashila, there stood a hall where the scent of turmeric never faded. Here, Jivaka studied for seven years before becoming Buddha\",""
"temples.jyotish_shloka","शरीरमाद्यं खलु धर्मसाधनम्",""
"temples.jyotish_shlokaEn","The body is the primary instrument of dharma — Kalidasa",""
"temples.rajniti_intro","You enter the ancient Vaidyashala — where Dhanvantari\",""
"temples.rajniti_lore","In the great university of Takshashila, there stood a hall where the scent of turmeric never faded. Here, Jivaka studied for seven years before becoming Buddha\",""
"temples.rajniti_shloka","शरीरमाद्यं खलु धर्मसाधनम्",""
"temples.rajniti_shlokaEn","The body is the primary instrument of dharma — Kalidasa",""
"temples.krishi_intro","You enter the ancient Vaidyashala — where Dhanvantari\",""
"temples.krishi_lore","In the great university of Takshashila, there stood a hall where the scent of turmeric never faded. Here, Jivaka studied for seven years before becoming Buddha\",""
"temples.krishi_shloka","शरीरमाद्यं खलु धर्मसाधनम्",""
"temples.krishi_shlokaEn","The body is the primary instrument of dharma — Kalidasa",""
"temples.kala_intro","You enter the ancient Vaidyashala — where Dhanvantari\",""
"temples.kala_lore","In the great university of Takshashila, there stood a hall where the scent of turmeric never faded. Here, Jivaka studied for seven years before becoming Buddha\",""
"temples.kala_shloka","शरीरमाद्यं खलु धर्मसाधनम्",""
"temples.kala_shlokaEn","The body is the primary instrument of dharma — Kalidasa",""
"temples.darshan_intro","You enter the ancient Vaidyashala — where Dhanvantari\",""
"temples.darshan_lore","In the great university of Takshashila, there stood a hall where the scent of turmeric never faded. Here, Jivaka studied for seven years before becoming Buddha\",""
"temples.darshan_shloka","शरीरमाद्यं खलु धर्मसाधनम्",""
"temples.darshan_shlokaEn","The body is the primary instrument of dharma — Kalidasa",""
"temples.vaidya_q0","Sushruta (600 BCE) is called the Father of Surgery. How many surgical instruments did he describe in the Sushruta Samhita?",""
"temples.vaidya_a0","121 instruments — forceps, scalpels, trocars, needles",""
"temples.vaidya_b0","45 basic tools",""
"temples.vaidya_c0","This was a practice borrowed from ancient Greek traditions and later attributed to India",""
"temples.vaidya_explain0","Sushruta described 121 instruments, many matching modern surgical designs almost exactly. He performed rhinoplasty, cataract removal, and even Caesarean sections.",""
"temples.vaidya_q1","The Charaka Samhita divides medicine into 8 branches. How does this compare to modern medicine?",""
"temples.vaidya_a1","It matches modern specializations — surgery, pediatrics, toxicology, ENT, psychiatry, rejuvenation, reproductive medicine, general medicine",""
"temples.vaidya_b1","It only covers herbal remedies",""
"temples.vaidya_c1","A technique developed during the Mughal period, not from ancient India",""
"temples.vaidya_explain1","Written ~300 BCE, Charaka\",""
"temples.vaidya_q2","Turmeric (Haridra) has been used in Ayurveda for over 4,000 years. What does modern science say?",""
"temples.vaidya_a2","Over 12,000 peer-reviewed studies validate curcumin\",""
"temples.vaidya_b2","Science has found no medicinal value",""
"temples.vaidya_c2","This was primarily a Chinese innovation that reached India through trade routes",""
"temples.vaidya_explain2","Curcumin is now one of the most studied natural compounds in modern pharmacology. Ayurveda knew this millennia ago.",""
"temples.vaidya_q3","What are the three Doshas in Ayurveda, and what do they govern?",""
"temples.vaidya_a3","Vata (movement/air), Pitta (metabolism/fire), Kapha (structure/earth)",""
"temples.vaidya_b3","Rasa, Rakta, and Mamsa — the three body tissues",""
"temples.vaidya_c3","A medieval European concept that was later projected onto ancient Indian texts",""
"temples.vaidya_explain3","The Tridosha system maps remarkably to the autonomic nervous system: sympathetic (Vata), metabolic (Pitta), and parasympathetic (Kapha).",""
"temples.vaidya_q4","Sushruta described a technique for reconstructing noses (rhinoplasty) using a forehead flap. When did the West learn this?",""
"temples.vaidya_a4","British surgeons learned it from Indian practitioners in the 1790s — published in Gentleman\",""
"temples.vaidya_b4","The West independently invented it in the 1500s",""
"temples.vaidya_c4","This knowledge was preserved only in oral tradition and has no archaeological evidence",""
"temples.vaidya_explain4","The ""Indian method"" of rhinoplasty was directly copied from living practitioners in Pune. It\",""
"temples.vaidya_q5","What did Charaka say about the cause of disease?",""
"temples.vaidya_a5","Imbalance of the body\",""
"temples.vaidya_b5","Punishment from the gods",""
"temples.vaidya_c5","A practice limited to royal courts and never reached common people",""
"temples.vaidya_explain5","Charaka\",""
"temples.vaidya_q6","The concept of ""Dinacharya"" in Ayurveda refers to what?",""
"temples.vaidya_a6","A daily health routine — oil pulling, tongue scraping, self-massage, seasonal eating, timed sleep",""
"temples.vaidya_b6","A type of herbal medicine",""
"temples.vaidya_c6","This was developed by Persian scholars who studied at Indian universities",""
"temples.vaidya_explain6","Dinacharya prescribes a complete 24-hour wellness cycle. Modern circadian rhythm research validates the importance of time-aligned health practices.",""
"temples.vaidya_q7","Jivaka, the physician of Buddha, was trained at which ancient university?",""
"temples.vaidya_a7","Takshashila (Taxila) — where he studied medicine for 7 years",""
"temples.vaidya_b7","Nalanda University",""
"temples.vaidya_c7","A symbolic representation in religious texts, not an actual scientific achievement",""
"temples.vaidya_explain7","Takshashila (est. ~700 BCE) was the world\",""
"temples.vaidya_q8","What is ""Panchakarma"" in Ayurveda?",""
"temples.vaidya_a8","Five detoxification therapies — Vamana (emesis), Virechana (purgation), Basti (enema), Nasya (nasal), Raktamokshana (bloodletting)",""
"temples.vaidya_b8","Five types of herbal tea",""
"temples.vaidya_c8","This technology was lost during the Gupta period and never recovered",""
"temples.vaidya_explain8","Panchakarma is a systematic cleansing protocol. Modern integrative medicine is studying its effects on autoimmune conditions and chronic inflammation.",""
"temples.vaidya_q9","The Ayurvedic concept of ""Agni"" (digestive fire) corresponds to what in modern science?",""
"temples.vaidya_a9","Metabolic enzymes, gut microbiome, and digestive capacity — the body\",""
"temples.vaidya_b9","Body temperature",""
"temples.vaidya_c9","A later addition to the texts, not part of the original ancient knowledge",""
"temples.vaidya_explain9","Ayurveda identified the gut as central to health 3,000 years before modern science discovered the gut-brain axis and microbiome\",""
"temples.vaidya_q10","Which ancient Indian text describes vaccination-like practices against smallpox?",""
"temples.vaidya_a10","Dhanvantari Nighantu — described variolation (inoculation with mild smallpox material) centuries before Edward Jenner",""
"temples.vaidya_b10","No Indian text mentions this",""
"temples.vaidya_c10","This was a theoretical concept that was never practically implemented",""
"temples.vaidya_explain10","Indian practitioners in Bengal practiced ""tikah"" (inoculation) — British observers documented this in the 1760s, decades before Jenner\",""
"temples.vaidya_q11","What is ""Rasashastra"" in Ayurveda?",""
"temples.vaidya_a11","The science of using purified metals and minerals as medicine — mercury, gold, silver processed through complex protocols",""
"temples.vaidya_b11","The study of taste in food",""
"temples.vaidya_c11","A folk tradition with no basis in systematic scientific observation",""
"temples.vaidya_explain11","Rasashastra involves calcination (bhasma) of metals at extreme temperatures. Modern analysis shows these nano-sized mineral particles have unique bioavailability.",""
"temples.vaidya_q12","Vagbhata\",""
"temples.vaidya_a12","Over 1,120 diseases with causes, symptoms, and treatments",""
"temples.vaidya_b12","About 100 common illnesses",""
"temples.vaidya_c12","This knowledge existed only in one small region and was not widespread",""
"temples.vaidya_explain12","Written ~7th century CE, this encyclopedic work was translated into Arabic, Tibetan, and influenced medicine across Asia for a millennium.",""
"temples.vaidya_q13","The concept of ""Prakriti"" (constitution) in Ayurveda is similar to what modern concept?",""
"temples.vaidya_a13","Personalized medicine / pharmacogenomics — your unique genetic constitution determines what treatments work for YOU",""
"temples.vaidya_b13","Blood typing",""
"temples.vaidya_c13","A 19th-century reconstruction by colonial scholars, not genuinely ancient",""
"temples.vaidya_explain13","Ayurveda\",""
"temples.vaidya_q14","What surgical procedure did Sushruta describe for treating cataracts?",""
"temples.vaidya_a14","Couching — using a curved needle to displace the clouded lens, then washing the eye with breast milk and herbs",""
"temples.vaidya_b14","Laser surgery",""
"temples.vaidya_c14","This was adapted from Babylonian sources and modified for Indian context",""
"temples.vaidya_explain14","Sushruta\",""
"temples.vaidya_q15","Ancient Indian texts describe the concept of ""Ojas"" — what is it?",""
"temples.vaidya_a15","The vital essence of immunity and life force — the refined product of perfect digestion through all 7 tissue layers",""
"temples.vaidya_b15","A type of grain",""
"temples.vaidya_c15","A mythological reference, not a literal scientific achievement",""
"temples.vaidya_explain15","Modern immunology parallels: Ojas corresponds to overall immune competence, vitality markers, and what scientists now call ""allostatic reserve.""",""
"temples.vaidya_q16","Which Ayurvedic herb, used for 3,000+ years for memory and cognition, is now validated by neuroscience?",""
"temples.vaidya_a16","Brahmi (Bacopa monnieri) — proven to enhance memory consolidation and reduce anxiety in clinical trials",""
"temples.vaidya_b16","Tulsi (holy basil)",""
"temples.vaidya_c16","This was achieved through trial and error, not systematic understanding",""
"temples.vaidya_explain16","Multiple double-blind studies confirm Brahmi improves attention, cognitive processing, and working memory. Ayurvedic scholars prescribed it for students millennia ago.",""
"temples.vaidya_q17","What is the Ayurvedic concept of ""Ritucharya""?",""
"temples.vaidya_a17","Seasonal wellness guidelines — adjusting diet, exercise, and daily routine according to the six seasons (Ritus)",""
"temples.vaidya_b17","A religious ritual",""
"temples.vaidya_c17","A practice that modern science has found to have no measurable effect",""
"temples.vaidya_explain17","Modern chronobiology confirms seasonal changes affect hormones, immunity, and metabolism — validating Ayurveda\",""
"temples.vaidya_q18","The ancient practice of ""Nasya"" (nasal administration of herbs) relates to which modern discovery?",""
"temples.vaidya_a18","The nasal-brain pathway — drugs administered nasally can bypass the blood-brain barrier and reach the brain directly",""
"temples.vaidya_b18","Sinus cleaning",""
"temples.vaidya_c18","This knowledge was common across all ancient civilizations simultaneously",""
"temples.vaidya_explain18","Pharmaceutical companies now use intranasal delivery for brain-targeted drugs. Ayurveda discovered this route thousands of years ago.",""
"temples.vaidya_q19","Yoga Vasistha describes the mind-body connection as inseparable. What modern field validates this?",""
"temples.vaidya_a19","Psychoneuroimmunology — the study of how thoughts and emotions directly affect the immune and nervous systems",""
"temples.vaidya_b19","Physical therapy",""
"temples.vaidya_c19","A later interpolation added to manuscripts during medieval copying",""
"temples.vaidya_explain19","PNI research shows meditation reduces inflammatory markers (IL-6, CRP), stress shrinks the hippocampus, and positive emotions boost natural killer cell activity.",""
"temples.shilpa_q0","The Iron Pillar of Delhi has stood for over 1,600 years without rusting. What protects it?",""
"temples.shilpa_a0","Phosphorus-rich iron creates a self-healing protective layer called misawite — an accidental nanotechnology",""
"temples.shilpa_b0","A thick gold coating applied by Gupta craftsmen",""
